VitaminC,TA,SSC
38.347574153843645,330.8969691958143,17.618468047556597
38.40765113419621,331.36623035400237,14.33
32.21001849537599,701.0347548519404,14.4223061725632
39.78594722925009,630.9628577437728,18.98221930016101
39.76848331744063,491.0277652139622,23.355582539525027
27.96197281643807,701.4074703562765,13.215840408760295
37.44602408520463,379.621633459506,22.569944043543767
42.20129285067592,302.31313525792666,10.668299741662018
40.63547362091754,491.4207143142875,8.937115146452268
28.944788754196004,497.6370582355735,12.333777302398355
37.320643835921565,533.791221071274,11.233588108236278
51.168507401827526,600.0620174634182,10.20867867571039
29.90782069405258,330.1013450030302,17.486411679466933
70.33361840292481,651.1512893218104,19.956831242437822
53.94673862172707,735.8467656547492,12.07432770940503
70.07102879881651,374.3148385653883,15.76268664673375
29.642111715885736,342.3731681221156,17.498158328943283
38.388072073684974,449.96883371027934,19.608798527717575
32.546272440882596,454.1202516674273,16.65995620620358
71.7083926725145,652.2169048576382,9.043634224940105
51.24271395354522,713.8188268821555,14.26940489192665
18.634610047128856,422.385551282102,21.990147335227704
37.51163453608211,422.5359970343866,14.331268205888305
56.816220692187535,629.2835605464659,12.275859955518863
52.60448175562611,381.9780930076457,15.13844019920219
43.55606546385294,583.0884658537473,18.56122722110567
40.19893035496049,452.2001374858412,12.122000855196138
58.442425774092214,650.2113348962845,14.82878069999755
38.30834210542658,463.94335324759027,14.27727446467599
46.14932152072597,528.2883675145879,14.211842995243853
42.98726840260017,366.03671012856614,17.849936818701003
34.32348495780361,415.3835949528876,14.33217070039873
41.73047109705467,578.2823885028947,15.232386015442724
57.07364350945076,336.52735975481505,8.440432739609337
50.45000331210317,585.819092817852,21.91328083600557
48.79467837594842,706.7515978087656,17.759834167397326
58.489133897606926,620.588397264317,11.261887841526157
22.67511715854212,440.70633357898464,19.58197714780962
44.10563556150488,342.8688696327694,18.286677769182422
48.55169258149233,603.2067854697885,9.339475621795618
34.56311695884437,655.2372163971153,16.026107996420542
41.04491781031788,629.5576981314348,17.782127577255164
53.48168868481269,515.5698254645292,13.50211568351861
23.04852292567425,199.9313621978452,19.426566734859623
60.35317155613149,216.30755211895863,19.402426578211056
38.10394111671116,532.9671474906705,14.837475239039426
38.38242041718321,617.1409621079265,9.298218151645372
22.959952550525497,185.85268266491838,20.908728783146422
30.98259889720078,354.1686964894272,19.033262501659276
60.13857456123169,775.6340588664156,19.899927996947124
31.857439905206625,375.479513737588,11.968386706975378
37.578374930305635,938.3800503934193,16.383371245029487
