Brix,TA,Firmness,DryMatter,K,Ca,Mg,P
14.0,12.55,3.5,16.4,745.1587562938844,30.82995058786531,47.5,82.32817198296425
16.5,21.255847648704727,4.093848044955719,18.56058475490918,1034.0,15.105542509826533,39.2,47.2330494109328
12.5,12.43192494915143,4.15,15.5,1295.7532530711,43.00000895501401,67.03638115995896,93.84104643758495
14.0,10.617765331973187,1.8823525040007225,16.11155365553806,1429.2193256287505,41.95750704975189,64.54384324192952,80.04846483987612
14.0,12.558412497721077,3.8,14.712547306699847,1206.2483630662646,32.38722157584322,55.054091505724266,52.033292781121446
13.0,7.116847222509082,3.663316196542586,15.491180043775183,1342.5073971509307,23.0021057436854,71.56967378205454,134.81989990725407
17.0,12.523248328515976,3.6,18.52025891767746,1555.926443903491,16.54462960023145,53.386869621322,98.6
13.0,13.542352481514852,4.000470632129411,13.7,660.0,60.73191129170468,38.8,35.7530221836633
15.0,8.455375835923848,3.2,14.6,767.5223289301758,31.1,39.1771175693814,48.62572499041271
16.35290893576449,18.07560558561735,6.219385625760412,15.1,734.9970797409453,40.92514380465575,41.055240848748305,51.10695725471869
16.0,15.041115422439603,4.253439878192728,13.9,1148.565619198786,17.37182973514736,52.2,56.007939586637285
11.0,6.055718938934596,1.65,13.4,939.2757069907226,244.42755892462498,64.68790133009358,59.40883624591372
12.381687429982847,12.55,4.4,12.332787620872569,624.6377584843699,28.783482226144777,29.129698826142015,41.57426319479831
10.0,8.1375,1.35,12.5,634.9807727051392,43.28959730565069,36.699639950268576,40.534300079575
11.5,11.3010714193619,3.3406899431127868,13.182740450211195,745.9037985498051,32.0,43.446397011150204,50.903356298292394
13.0,11.52417308417257,2.7532237511029463,13.529547661895926,724.9482488724587,16.557639285579956,37.88363172265196,47.2
15.0,7.65412168558924,1.75,15.40407091079325,733.6966385203132,27.65677808181257,34.709426931425,40.1105912690185
12.5,7.559924301303415,1.5,13.948123424506056,1006.454587226103,25.55003092802006,50.8,55.4
15.0,10.213842233713953,1.75,14.3,1146.9247630208506,35.09492204313323,51.3,103.65458235156677
12.5,11.97,1.9,17.831020212486102,1564.1792273667288,46.5,72.59091738948409,110.71376160098944
13.5,10.256850373079859,2.983119224167296,14.6,882.4736897968473,31.077264246541638,39.3,49.50776398173943
11.5,6.4942093841294675,1.6,11.037181400186691,614.8140948743886,42.82562700788081,37.54830702549453,40.64600516473376
11.5,7.0875,1.65,14.3,1121.0315423317195,66.14135283701714,51.782302547065406,74.73021782914867
15.5,11.417424537780608,3.3926965626546632,17.5783348056702,732.4380380550647,31.6,37.0,41.5
13.0,7.245,2.1,16.2,695.7480639014822,28.366820012302526,37.51265276381227,42.31490969351965
12.0,7.664926696436561,2.75,12.1,759.291314747324,32.5,39.2,53.466039109825296
14.55403741318817,14.85494756876335,4.2,13.87331804259229,870.0,42.94083089770301,56.09540546306221,64.42462898521535
13.0,8.155836069320474,3.2,14.6,838.679745450668,40.5,39.3,57.74241494951527
11.5,7.712944135530546,1.3888107383190853,15.0,1169.7263443241072,38.225133278092024,59.44317209814276,70.25370244346874
15.0,15.467674986241747,4.6174344362439905,14.2,1516.4418102929485,35.98803457771211,72.7049264637257,98.98036602861126
15.0,13.780465069566743,5.284723591042263,17.38803428433135,906.8692760114224,35.86988519780604,46.47112213979401,64.17536739493929
12.0,7.023255745232611,1.45,14.4,777.9811979524097,41.6402866154465,40.3,48.60728504446077
11.0,8.927583301856709,3.8,14.226435926369822,643.0701405158039,53.77759108844464,39.19427133185961,35.333811536349046
11.5,6.2358455630478,1.505466213433125,13.35537674470161,735.4527696228167,42.75713134086299,35.386540116833736,49.81693327799492
15.0,12.460259787697204,1.75,18.124947059854847,679.7714760473023,30.0,38.55563376876698,47.358224568256226
15.5,11.641918437816784,4.544680583376256,18.362686526041372,1130.6977804097448,32.0,56.7340863431318,80.26620800166576
